         Google	              -
        Scholar	              -
            Web	              -
         Images	              -
           More	              -
              &	              -
         hellip	              -
              ;	              -
           Sign	              -
             in	              -
             In	              -
             re	              -
       Marriage	              -
             of	              -
    Shaughnessy	              -
              ,	              -
             43	              -
           Cal.	              -

           Rptr	              -
              .	              -

             3d	              -
            642	              -
              -	              -
            Cal	              -
              :	              -
          Court	              -
             of	              -
         Appeal	              -
              ,	              -
            4th	              -
      Appellate	              -
           Dist	              -
              .	              -
              ,	              -
            1st	              -
           Div.	              -

           2006	              -	         O
           Read	              -	         O
            How	              -	      S-A0
          cited	          cited	       S-V
         Search	              -	      B-A1
             In	              -	      I-A1
             re	              -	      I-A1
       Marriage	              -	      I-A1
             of	              -	      I-A1
    Shaughnessy	              -	      I-A1
              ,	              -	      I-A1
             43	              -	      I-A1
           Cal.	              -	      E-A1

           Rptr	              -
              .	              -

             3d	              -
            642	              -
              -	              -
            Cal	              -
              :	              -
          Court	              -
             of	              -
         Appeal	              -
              ,	              -
            4th	              -
      Appellate	              -
           Dist	              -
              .	              -
              ,	              -
            1st	              -
           Div.	              -

           2006	              -

             43	              -
           Cal.	              -
        Rptr.3d	              -
            642	              -
              (	              -
           2006	              -
              )	              -

            139	              -
           Cal.	              -
        App.4th	              -
           1225	              -

             In	              -
             re	              -
            the	              -
       Marriage	              -
             of	              -
             C.	              -
           Greg	              -
            and	              -
       Michelle	              -
    SHAUGHNESSY	              -
              .	              -

             C.	              -
           Greg	              -
    Shaughnessy	              -
              ,	              -
     Respondent	              -
              ,	              -

             v.	              -

       Michelle	              -
    Shaughnessy	              -
              ,	              -
      Appellant	              -
              .	              -

            No.	              -

        D046465	              -
              .	              -

          Court	              -
             of	              -
         Appeal	              -
              ,	              -
         Fourth	              -
       District	              -
              ,	              -
       Division	              -
           One.	              -

            May	              -
             26	              -
              ,	              -
          2006.	              -

            644	              -
           *644	              -
          Bruce	              -
             M.	              -
          Beals	              -
              ,	              -
            San	              -
          Diego	              -
              ,	              -
            for	              -
      Appellant	              -
              .	              -

             C.	              -
           Greg	              -
    Shaughnessy	              -
              ,	              -
             in	              -
            pro	              -
              .	              -

            per	              -
              .	              -

              ;	              -
     Feuerstein	              -
              &	              -
         Murphy	              -
              ,	              -
        Richard	              -
             P.	              -
     Feuerstein	              -
              ;	              -
            and	              -
